cargo,empresa,salario_base,localizacao,modalidade_trabalho,nivel,experiencia,tipo_contrato,remuneracao_total_anual,remuneracao_inclui,salario_base_detalhado,bonus_anual,relacao_empresa,area_especializacao,beneficios,remuneracao_total_mensal
Cientista de Dados,Ambev Tech,15.300,"Salvador, Bahia",Remoto,Sênior,6 anos de experiência,CLT,248.949,"Inclui bônus, PLR, stock options e comissões",203.949,45.000,Funcionário em agosto de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença paternidade estendida,20.746
Cientista de Dados,Hospital Albert Einstein,15.000,"São Paulo, São Paulo",Híbrido,Sênior,6 anos de experiência,CLT,199.950,"Inclui bônus, PLR, stock options e comissões",199.950,Não informado,Funcionário em julho de 2025,Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Horário Flexível | Participação nos Lucros e Resultados (PLR),16.663
Cientista de Dados,Hospital Albert Einstein,21.606,"São Paulo, São Paulo",Híbrido,Sênior,7 anos de experiência,CLT,332.008,"Inclui bônus, PLR, stock options e comissões",288.008,44.000,Funcionário em julho de 2025,Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Gympass ou subsídio para academia,27.667
Cientista de Dados,Serasa,7.000,"São Paulo, São Paulo",Híbrido,Pleno,3 anos de experiência,CLT,105.910,"Inclui bônus, PLR, stock options e comissões",93.310,12.600,Funcionário em junho de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Stock Options | Licença maternidade estendida | Licença paternidade estendida,8.826
Cientista de Dados,John Snow Labs,40.000,"São Paulo, São Paulo",Remoto,Sênior,8 anos de experiência,PJ,480.000,"Inclui bônus, PLR, stock options e comissões",480.000,Não informado,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Não informado,40.000
Cientista de Dados,Magazine Luiza,8.700,"São Paulo, São Paulo",Híbrido,Júnior,2 anos de experiência,CLT,124.671,"Inclui bônus, PLR, stock options e comissões",115.971,8.700,Funcionário em abril de 2025,Vendas,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Educação | Plano de Saúde | Plano Odontológico | Home Office | Café Grátis | Gympass ou subsídio para academia | Apoio psicológico,10.389
Cientista de Dados,Serasa Experian,9.800,"São Paulo, São Paulo",Remoto,Sênior,3.8 anos de experiência,CLT,168.274,"Inclui bônus, PLR, stock options e comissões",130.634,17.640,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Stock Options | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,14.023
Cientista de Dados,Operdata,5.000,"Belo Horizonte, Minas Gerais",Remoto,Júnior,3 anos de experiência,CLT,70.150,"Inclui bônus, PLR, stock options e comissões",66.650,3.500,Funcionário em abril de 2025,Banco de Dados,Vale Refeição | Vale Transporte | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Gympass ou subsídio para academia,5.846
Cientista de Dados,Beegol,9.000,"São Paulo, São Paulo",Remoto,Pleno,2 anos de experiência,PJ,108.000,"Inclui bônus, PLR, stock options e comissões",108.000,Não informado,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Home Office | Horário Flexível,9.000
Cientista de Dados,Datarisk,9.000,São Paulo,Remoto,Pleno,4 anos de experiência,PJ,108.000,"Inclui bônus, PLR, stock options e comissões",108.000,Não informado,Saiu da empresa em 2024 (ex-funcionário),Não informado,Plano de Saúde | Plano Odontológico | Day off no aniversário,9.000
